epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.59461,1.92521,1.33813,1.02168,0.63359,0.60515,0.64096,0.19241,1.71083,1.25193,1.00763,2e-05,2e-05,2e-05
2,17.3514,1.90269,1.30747,1.03047,0.60782,0.6053,0.6222,0.18705,1.74689,1.23068,1.00619,5.9802e-05,5.9802e-05,5.9802e-05
3,24.9886,2.01239,1.34563,1.06712,0.60729,0.59734,0.60269,0.17386,1.84387,1.22507,1.01604,9.934e-05,9.934e-05,9.934e-05
4,32.8468,2.12379,1.28593,1.03343,0.55152,0.59113,0.57135,0.16202,1.88552,1.2419,1.02135,0.000138614,0.000138614,0.000138614
5,40.4815,2.1304,1.41115,1.06543,0.55495,0.57082,0.56135,0.15987,1.88477,1.25213,1.02523,0.000177624,0.000177624,0.000177624
6,47.8576,1.92441,1.33542,1.05997,0.58214,0.6039,0.58475,0.15119,1.97668,1.29108,1.03854,0.00021637,0.00021637,0.00021637
7,55.8804,2.03605,1.37648,1.00542,0.64407,0.60086,0.59391,0.15697,2.02315,1.3106,1.04063,0.000254852,0.000254852,0.000254852
8,62.9478,2.06553,1.42522,1.07708,0.66849,0.61449,0.62158,0.17263,1.96352,1.30031,1.02548,0.00029307,0.00029307,0.00029307
9,71.2939,1.83038,1.35854,1.03773,0.70177,0.62615,0.62582,0.17211,1.94677,1.29151,1.02423,0.000331024,0.000331024,0.000331024
10,78.4733,1.97236,1.3904,1.02444,0.64699,0.62232,0.60762,0.16774,1.96701,1.267,1.02921,0.000368714,0.000368714,0.000368714
11,85.2194,1.95505,1.37284,0.99071,0.68263,0.62774,0.61788,0.1698,1.97205,1.24273,1.03233,0.00040614,0.00040614,0.00040614
12,92.6373,2.11274,1.37625,1.05193,0.68127,0.61464,0.64387,0.18177,1.91293,1.21409,1.02578,0.000443302,0.000443302,0.000443302
13,100.41,1.97213,1.3046,0.98147,0.72429,0.59756,0.65211,0.19053,1.87341,1.19265,1.02287,0.0004802,0.0004802,0.0004802
14,107.818,2.03595,1.41491,0.97006,0.70199,0.59227,0.63399,0.1847,1.90506,1.19398,1.02628,0.000516834,0.000516834,0.000516834
15,115.351,1.95848,1.33278,1.00461,0.6971,0.60086,0.64132,0.19198,1.91539,1.22125,1.01398,0.000553204,0.000553204,0.000553204
16,123.285,1.99396,1.31708,1.04784,0.72069,0.5794,0.6601,0.19243,1.9836,1.21646,1.01932,0.00058931,0.00058931,0.00058931
17,131.367,1.97635,1.32713,1.03516,0.6417,0.59657,0.63031,0.19873,1.99518,1.21426,1.02314,0.000625152,0.000625152,0.000625152
18,139.847,2.09294,1.31616,0.9757,0.58619,0.64807,0.61907,0.20025,1.82997,1.23138,0.993,0.00066073,0.00066073,0.00066073
19,151.692,1.94828,1.34413,1.03679,0.61759,0.66524,0.63381,0.21142,1.8536,1.23467,0.99963,0.000696044,0.000696044,0.000696044
20,159.25,1.88563,1.33864,1.02011,0.61383,0.64807,0.64713,0.22356,1.85785,1.2061,1.00112,0.000731094,0.000731094,0.000731094
21,166.933,1.79561,1.30347,1.03882,0.6937,0.64378,0.67643,0.22117,1.90316,1.17769,1.0113,0.00076588,0.00076588,0.00076588
22,174.831,1.919,1.30423,1.07669,0.70745,0.62271,0.66581,0.19726,2.04654,1.17292,1.03747,0.000800402,0.000800402,0.000800402
23,182.68,1.8797,1.2849,1.03752,0.72482,0.58784,0.65496,0.20676,1.96646,1.18237,1.02525,0.00083466,0.00083466,0.00083466
24,190.361,2.05987,1.38205,1.06602,0.67821,0.6151,0.66777,0.22482,1.84785,1.20339,1.01116,0.000868654,0.000868654,0.000868654
25,198.564,2.39259,1.51965,1.0419,0.69203,0.61373,0.67782,0.22178,1.8809,1.23895,1.02404,0.000902384,0.000902384,0.000902384
26,206.88,2.21004,1.4515,1.06534,0.69645,0.63519,0.69169,0.22692,1.97384,1.2415,1.04184,0.00093585,0.00093585,0.00093585
27,214.541,2.1265,1.36092,1.05034,0.70393,0.69957,0.71719,0.24694,1.9285,1.18831,1.03548,0.000969052,0.000969052,0.000969052
28,222.156,2.36056,1.32611,1.04713,0.70393,0.69957,0.71719,0.24694,1.9285,1.18831,1.03548,0.00100199,0.00100199,0.00100199
29,230.116,2.10643,1.29888,1.0302,0.73194,0.70312,0.74736,0.26912,1.73058,1.14724,1.00862,0.00103466,0.00103466,0.00103466
30,239.239,2.19258,1.3519,1.03222,0.74573,0.65665,0.73551,0.22633,1.81207,1.14777,1.01049,0.00106707,0.00106707,0.00106707
31,246.661,2.10907,1.3473,1.02356,0.74573,0.65665,0.73551,0.22633,1.81207,1.14777,1.01049,0.00109922,0.00109922,0.00109922
32,254.365,2.04486,1.34613,1.02702,0.6767,0.60086,0.62809,0.17877,2.02372,1.2157,1.0385,0.0011311,0.0011311,0.0011311
33,261.79,2.03536,1.30859,1.00232,0.60746,0.59112,0.57855,0.17434,1.92214,1.33629,1.01808,0.00116272,0.00116272,0.00116272
34,271.119,2.08934,1.31807,1.00763,0.60746,0.59112,0.57855,0.17434,1.92214,1.33629,1.01808,0.00119407,0.00119407,0.00119407
35,279.431,1.98633,1.29096,1.02747,0.6345,0.61094,0.62283,0.21014,1.84426,1.34576,1.0036,0.00122516,0.00122516,0.00122516
36,287.227,1.94554,1.30295,1.04883,0.69779,0.69367,0.70507,0.2636,1.7913,1.2679,0.98314,0.00125599,0.00125599,0.00125599
